cell id,Number,Slice,Date,Sample,Mouse,Mouse date of birth,Mouse age,Mouse gender,Mouse genotype,Targeted layer,Inferred layer,Cre,Exon reads,Intron reads,Intergenic reads,Sequencing batch,Number of genes detected,RNA family,RNA type,RNA type confidence,RNA type top-3,ALM/VISp top-3,Length (bp),Yield (pg/µl),User,Hold Time (min),Soma depth (µm),Soma depth (4x),Cortical thickness (4x),Cortical thickness (µm),Traced,Exclusion reasons
20171204_sample_2,1,20171204_slice_2,2017-12-04,sample 2,mouse_GTOKH,2017-10-29,36,M,Pvalb-Cre/wt; Ai9/wt,5,5,PV-,10315633,1060515,947943,1,15953,ET,L5 ET_1,0.88,"L5 ET_1 (88.3%), L5 ET_2 (3.1%), L6 CT Pou3f2 (2.4%)",L5 PT ALM Slco2a1 (99.0%),1955,95.19,Fede,8.0,736.7,271.0,535.8,1478.808,y,0
20171204_sample_4,2,20171204_slice_4,2017-12-04,sample 4,mouse_GTOKH,2017-10-29,36,M,Pvalb-Cre/wt; Ai9/wt,5,5,PV-,5272324,2706142,1216945,1,17906,IT,L5 IT_2,0.52,"L5 IT_2 (51.9%), L5 IT_4 (9.1%), L6 CT Pou3f2 (8.3%)","L6 IT VISp Penk Fst (34.0%), L5 IT VISp Col27a1 (29.0%), L5 IT VISp Col6a1 Fezf2 (19.0%)",1887,80.22,Fede,9.0,726.2,285.7,545.9,1506.684,y,0
20171204_sample_5,3,20171204_slice_5,2017-12-04,sample 5,mouse_GTOKH,2017-10-29,36,M,Pvalb-Cre/wt; Ai9/wt,5,5,PV-,18172944,5610782,1541985,1,20974,IT,L5 IT_1,0.97,L5 IT_1 (97.0%),"L5 IT ALM Cpa6 Gpr88 (55.0%), L5 IT ALM Gkn1 Pcdh19 (36.0%), L5 IT ALM Cbln4 Fezf2 (6.0%)",1869,439.16,Fede,8.0,659.8,241.8,530.4,1463.904,y,0
20171204_sample_6,4,20171204_slice_6,2017-12-04,sample 6,mouse_GTOKH,2017-10-29,36,M,Pvalb-Cre/wt; Ai9/wt,5,5,PV-,6226321,6139027,1366216,1,18091,ET,L5 ET_4,0.94,"L5 ET_4 (94.0%), L5 ET_2 (5.3%)",L5 PT ALM Npsr1 (99.0%),1999,211.71,Fede,8.0,571.7,210.0,501.1,1383.036,y,0
20171207_sample_1,5,20171207_slice_1,2017-12-07,sample 1,mouse_UGZSW,2017-09-18,80,F,Sst-IRES-Cre/wt; Ai9/wt,5,5,SST-,3786954,5386523,1499012,1,23100,ET,L5 ET_1,0.91,"L5 ET_1 (90.7%), L5 ET_4 (5.7%)","L5 PT VISp Krt80 (51.0%), L5 PT ALM Slco2a1 (48.0%)",1884,986.46,Fede,10.0,772.4,288.9,477.1,1316.796,y,0
20171207_sample_2,6,20171207_slice_2,2017-12-07,sample 2,mouse_UGZSW,2017-09-18,80,F,Sst-IRES-Cre/wt; Ai9/wt,5,5,SST-,8720847,7844835,2052263,1,24833,ET,L5 ET_1,0.9,"L5 ET_1 (89.7%), L5 ET_2 (5.4%)",L5 PT ALM Slco2a1 (96.0%),1929,1067.33,Fede,9.0,619.7,190.2,490.5,1353.78,y,0
20171207_sample_6,7,20171207_slice_6,2017-12-07,sample 6,mouse_UGZSW,2017-09-18,80,F,Sst-IRES-Cre/wt; Ai9/wt,5,5,SST-,11706332,7897632,1570407,1,20130,IT,L5 IT_1,0.94,"L5 IT_1 (94.4%), L5 ET_1 (1.7%)","L5 IT ALM Cpa6 Gpr88 (51.0%), L5 IT VISp Batf3 (39.0%), L5 IT VISp Whrn Tox2 (6.0%)",2250,356.56,Fede,11.0,798.6,289.6,550.8,1520.208,y,0
20171207_sample_7,8,20171207_slice_7,2017-12-07,sample 7,mouse_UGZSW,2017-09-18,80,F,Sst-IRES-Cre/wt; Ai9/wt,5,5,SST-,10300710,3742528,994934,1,21402,IT,L5 IT_1,0.49,"L5 IT_1 (49.0%), L5 IT_2 (42.9%), L6 IT_1 (5.1%)","L5 IT ALM Gkn1 Pcdh19 (69.0%), L6 IT ALM Tgfb1 (14.0%), L5 IT ALM Cpa6 Gpr88 (13.0%)",2032,696.4,Fede,10.0,628.6,207.9,522.3,1441.548,y,0
20171219_sample_1,9,20171219_slice_1,2017-12-19,sample 1,mouse_KKXUD,2017-10-19,61,M,Pvalb-Cre/wt; Ai9/wt,5,5,PV-,227299,310804,40074,3,11141,IT,L4/5 IT_2,0.99,L4/5 IT_2 (99.1%),L5 IT ALM Lypd1 Gpr88 (96.0%),2356,410.96,Fede,10.0,805.2,282.9,604.2,1667.592,y,0
20171219_sample_2,10,20171219_slice_2,2017-12-19,sample 2 ,mouse_KKXUD,2017-10-19,61,M,Pvalb-Cre/wt; Ai9/wt,5,5,PV-,3392481,1859939,441786,1,18440,IT,L5 IT_1,0.99,L5 IT_1 (99.4%),"L5 IT ALM Cpa6 Gpr88 (73.0%), L5 IT ALM Gkn1 Pcdh19 (27.0%)",2173,626.48,Fede,10.0,598.6,217.1,483.7,1335.012,y,0
