cellnames,ttype
20171204_sample_2,ET
20171204_sample_4,IT
20171204_sample_5,IT
20171204_sample_6,ET
20171207_sample_1,ET
20171207_sample_2,ET
20171207_sample_6,IT
20171207_sample_7,IT
20171219_sample_1,IT
20171219_sample_2,IT
20171219_sample_3,IT
20171219_sample_4,ET
20171219_sample_6,ET
20171219_sample_7,IT
20171219_sample_8,ET
20180102_sample_1,ET
20180102_sample_2,IT
20180102_sample_3,ET
20180102_sample_4,ET
20180102_sample_5,IT
20180103_sample_1,ET
20180103_sample_2,ET
20180103_sample_3,ET
20180103_sample_5,IT
20180103_sample_6,IT
20180103_sample_7,IT
20180103_sample_8,IT
20180104_sample_2,IT
20180104_sample_3,IT
20180104_sample_6,ET
20180105_sample_4,IT
20180105_sample_5,IT
20180105_sample_6,IT
20180108_sample_1,IT
20180108_sample_3,IT
20180108_sample_4,ET
20180108_sample_5,ET
20180108_sample_7,IT
20180108_sample_8,ET
20180108_sample_9,IT
20180108_sample_10,ET
20180109_sample_1,IT
20180109_sample_2,IT
20180109_sample_5,IT
20180110_sample_1,IT
20180110_sample_2,IT
20180110_sample_3,IT
20180110_sample_4,IT
20180110_sample_5,IT
20180110_sample_7,IT
20180110_sample_8,ET
20180111_sample_5,IT
20180115_sample_2,IT
20180115_sample_5,IT
20180115_sample_7,IT
20180115_sample_8,IT
20180115_sample_9,IT
20180118_sample_1,IT
20180118_sample_2,IT
20180118_sample_4,IT
20180118_sample_6,IT
20180118_sample_7,ET
20180118_sample_10,ET
20180123_sample_1,ET
20180123_sample_3,ET
20180123_sample_5,ET
20180123_sample_6,ET
20180123_sample_7,ET
20180208_sample_2,ET
20180208_sample_3,ET
20180208_sample_4,IT
20180208_sample_5,IT
20180213_sample_3,ET
20180213_sample_5,Pvalb
20180215_sample_1,Pvalb
20180220_sample_1,Sst
20180220_sample_2,IT
20180225_sample_1,IT
20180225_sample_2,IT
20180225_sample_3,IT
20180225_sample_4,IT
20180225_sample_5,ET
20180225_sample_7,Pvalb
20180306_sample_1,Pvalb
20180306_sample_2,IT
20180306_sample_3,IT
20180306_sample_5,IT
20180309_sample_4,IT
20180309_sample_6,IT
20180309_sample_7,IT
20180309_sample_8,IT
20180313_sample_2,ET
20180313_sample_7,IT
20180313_sample_9,Pvalb
20180315_sample_1,ET
20180315_sample_5,IT
20180315_sample_6,IT
20180321_sample_2,IT
20180321_sample_3,IT
20180321_sample_4,IT
20180321_sample_8,ET
20180321_sample_9,ET
20180322_sample_1,IT
20180322_sample_2,IT
20180322_sample_3,IT
20180322_sample_4,IT
20180322_sample_5,IT
20180322_sample_6,ET
20180322_sample_7,ET
20180327_sample_1,Pvalb
20180327_sample_2,Pvalb
20180327_sample_3,IT
20180327_sample_4,Pvalb
20180327_sample_5,Pvalb
20180327_sample_6,IT
20180329_sample_1,IT
20180329_sample_2,IT
20180329_sample_3,IT
20180329_sample_4,ET
20180329_sample_5,IT
20180329_sample_6,IT
20180329_sample_8,IT
20180403_sample_6,ET
20180403_sample_7,IT
20180404_sample_1,Pvalb
20180404_sample_2,Pvalb
20180404_sample_3,IT
20180404_sample_4,Pvalb
20180404_sample_5,Pvalb
20180404_sample_7,IT
20180405_sample_1,ET
20180405_sample_2,IT
20180405_sample_3,IT
20180410_sample_1,Pvalb
20180410_sample_3,IT
20180410_sample_4,IT
20180410_sample_5,IT
20180410_sample_6,IT
20180410_sample_9,Pvalb
20180411_sample_1,IT
20180411_sample_3,IT
20180411_sample_4,Pvalb
20180411_sample_5,Pvalb
20180412_sample_1,IT
20180412_sample_2,Pvalb
20180412_sample_4,IT
20180412_sample_7,IT
20180413_sample_2,Pvalb
20180413_sample_3,Pvalb
20180413_sample_4,IT
20180417_sample_1,Vip
20180417_sample_2,Pvalb
20180417_sample_3,IT
20180417_sample_4,Pvalb
20180417_sample_5,IT
20180417_sample_6,IT
20180417_sample_7,Pvalb
20180417_sample_8,Sst
20180417_sample_9,IT
20180418_sample_1,Pvalb
20180418_sample_2,Pvalb
20180418_sample_3,Pvalb
20180418_sample_5,IT
20180418_sample_6,IT
20180420_sample_3,IT
20180420_sample_4,IT
20180424_sample_1,IT
20180424_sample_6,IT
20180425_sample_2,IT
20180425_sample_3,Pvalb
20180425_sample_5,Sncg
20180425_sample_7,Pvalb
20180425_sample_8,Vip
20180425_sample_9,IT
20180426_sample_1,ET
20180426_sample_3,IT
20180426_sample_4,IT
20180426_sample_5,Pvalb
20180426_sample_7,IT
20180426_sample_9,Pvalb
20180501_sample_2,IT
20180501_sample_3,IT
20180501_sample_4,IT
20180501_sample_5,IT
20180501_sample_8,Lamp5
20180502_sample_3,IT
20180508_sample_1,Pvalb
20180508_sample_2,IT
20180508_sample_3,IT
20180508_sample_4,IT
20180509_sample_2,IT
20180509_sample_3,IT
20180509_sample_5,IT
20180509_sample_7,IT
20180509_sample_9,IT
20180510_sample_2,Pvalb
20180510_sample_3,IT
20180510_sample_5,IT
20180510_sample_9,IT
20180515_sample_1,Pvalb
20180515_sample_6,Pvalb
20180522_sample_2,IT
20180522_sample_3,IT
20180522_sample_4,IT
20180522_sample_5,Pvalb
20180522_sample_6,ET
20180522_sample_7,IT
20180524_sample_8,IT
20180524_sample_9,Pvalb
20180529_sample_3,IT
20180608_sample_1,Lamp5
20180608_sample_2,Pvalb
20180608_sample_3,IT
20180608_sample_5,Pvalb
20180619_sample_3,Pvalb
20180619_sample_5,IT
20180619_sample_7,Lamp5
20180621_sample_1,IT
20180621_sample_3,Sncg
20180621_sample_4,IT
20180621_sample_5,Vip
20180621_sample_7,Pvalb
20180621_sample_8,Pvalb
20180628_sample_2,Pvalb
20180628_sample_3,Pvalb
20180628_sample_6,Pvalb
20180628_sample_7,Lamp5
20180703_sample_1,Pvalb
20180703_sample_2,IT
20180704_sample_1,Pvalb
20180704_sample_2,Pvalb
20180704_sample_3,Pvalb
20180704_sample_4,IT
20180704_sample_5,Pvalb
20180705_sample_1,Pvalb
20180705_sample_4,Pvalb
20180709_sample_3,Lamp5
20180709_sample_4,IT
20180709_sample_6,IT
20180710_sample_1,Pvalb
20180710_sample_2,Pvalb
20180710_sample_3,Pvalb
20180710_sample_5,Pvalb
20180711_sample_1,Pvalb
20180711_sample_2,Sst
20180711_sample_3,Sst
20180711_sample_4,Sst
20180712_sample_3,Sncg
20180712_sample_5,Pvalb
20180712_sample_11,Pvalb
20180712_sample_12,Pvalb
20180712_sample_13,IT
20180712_sample_14,Pvalb
20180712_sample_15,Pvalb
20180717_sample_1,Pvalb
20180717_sample_2,Lamp5
20180717_sample_3,Pvalb
20180717_sample_4,Pvalb
20180717_sample_6,Pvalb
20180717_sample_7,ET
20180718_sample_2,Pvalb
20180718_sample_3,Pvalb
20180718_sample_4,Pvalb
20180719_sample_1,Pvalb
20180719_sample_4,Pvalb
20180720_sample_2,Sncg
20180720_sample_3,Pvalb
20180720_sample_5,Lamp5
20180725_sample_3,IT
20180725_sample_6,Pvalb
20180725_sample_7,IT
20180725_sample_9,Lamp5
20180726_sample_3,Pvalb
20180726_sample_4,Pvalb
20180726_sample_5,Pvalb
20180726_sample_6,Pvalb
20180726_sample_7,Pvalb
20180817_sample_2,Pvalb
20180817_sample_3,Pvalb
20180817_sample_4,Pvalb
20180817_sample_5,Pvalb
20180817_sample_6,IT
20180817_sample_7,Pvalb
20180820_sample_1,Sst
20180820_sample_2,IT
20180820_sample_3,Sst
20180820_sample_4,Sst
20180820_sample_5,Sst
20180820_sample_6,IT
20180820_sample_7,Sst
20180822_sample_1,Pvalb
20180822_sample_2,Pvalb
20180822_sample_3,Pvalb
20180822_sample_4,Pvalb
20180822_sample_6,Pvalb
20180822_sample_7,Pvalb
20180828_sample_2,Pvalb
20180828_sample_3,Pvalb
20180828_sample_4,IT
20180828_sample_5,Pvalb
20180828_sample_6,Pvalb
20180828_sample_8,IT
20180829_sample_1,Sst
20180829_sample_2,Sst
20180829_sample_3,Sst
20180829_sample_4,Sst
20180829_sample_5,Sst
20180829_sample_6,Sst
20180829_sample_7,Sst
20180829_sample_8,IT
20180830_sample_1,Pvalb
20180830_sample_2,Pvalb
20180830_sample_5,Pvalb
20180830_sample_6,Pvalb
20180904_sample_1,Pvalb
20180904_sample_2,Pvalb
20180904_sample_3,Pvalb
20180904_sample_4,Pvalb
20180904_sample_5,Pvalb
20180904_sample_6,Pvalb
20180904_sample_7,Pvalb
20180904_sample_9,Pvalb
20180905_sample_1,Sst
20180905_sample_2,Sst
20180910_sample_2,Sst
20180910_sample_3,Sst
20180911_sample_1,Sst
20180911_sample_2,Sst
20180911_sample_3,Sst
20180911_sample_5,Sst
20180911_sample_6,Sst
20180912_sample_2,Pvalb
20180912_sample_3,Pvalb
20180912_sample_6,Pvalb
20180917_sample_1,Sst
20180917_sample_2,Pvalb
20180917_sample_3,IT
20180917_sample_4,Pvalb
20180917_sample_5,Sst
20180918_sample_1,Vip
20180918_sample_2,Vip
20180918_sample_3,Vip
20180920_sample_2,Pvalb
20180920_sample_3,Pvalb
20180920_sample_4,Pvalb
20180921_sample_2,Pvalb
